"1","2","2","","1","","既存電灯分電盤取外し","","","","","","1","","2.00","2.00","4","面","7000","14000","5000","10000","","","","","0.450","0.900","","","","","","","0","","","","2017-02-20 08:22:34","2017-02-20 08:22:34",""
"2","2","2","","1","","既存タイマー制御盤撤去","","","","","","2","","1.00","1.00","4","面","4500","4500","3300","3300","","","","","0.300","0.300","","","","","","","0","","","","2017-02-20 08:23:32","2017-02-20 08:23:32",""
"3","2","2","","1","","既存動力分電盤撤去","","","","","","3","","1.00","1.00","4","面","7000","7000","5000","5000","","","","","0.450","0.450","","","","","","","0","","","","2017-02-20 08:24:15","2017-02-20 08:24:15",""
"4","2","2","","1","","共用分電灯２次側幹線配線","","","","","","4","CVT38mm2、Ｅ14mm2(既存ケーブル使用)","1.00","1.00","3","回線","9800","9800","7200","7200","","","","","0.650","0.650","","","","","","","0","","","","2017-02-20 08:29:44","2017-02-20 08:31:48",""
"5","2","2","","1","","クロエ・アイラ分電灯１次側配管配線","","","","","","6","CVT38mm2(VE42)","1.00","1.00","3","回線","34560","34560","25600","25600","","","","","1.140","1.140","","","","","","","0","","","","2017-02-20 08:37:49","2017-02-20 08:37:49",""
"6","2","2","","1","","クロエ・アイラ分電灯用計器板取付","","","","","","7","BF-6530J","1.00","1.00","14","枚","5650","5650","4180","4180","","","","","0.130","0.130","","","","","","","0","","","","2017-02-20 08:39:40","2017-02-20 08:40:08",""
"7","2","2","","1","","クロエ分電灯２次側配線","","","","","","9","CVT38mm2、Ｅ14mm2","1.00","1.00","3","回線","46170","46170","34200","34200","","","","","1.000","1.000","","","","","","","0","","","","2017-02-20 08:42:08","2017-02-20 08:42:08",""
"8","2","2","","1","","アイラ分電灯２次側配線","","","","","","11","CVT14mm2、E5.5mm2","1.00","1.00","3","回線","18900","18900","14000","14000","","","","","0.480","0.480","","","","","","","0","","","","2017-02-20 08:48:38","2017-02-20 08:48:38",""
"9","2","2","","1","","クロエ分動力２次側配管配線","","","","","","14","CVT14mm2、E8mm2(VE36)","1.00","1.00","3","回線","65910","65910","48820","48820","","","","","2.780","2.780","","","","","","","0","","","","2017-02-20 08:53:16","2017-02-20 08:53:16",""
"10","2","2","","1","","共用分電灯分電盤取付","","","","","","5","既存品再使用","1.00","1.00","4","面","22500","22500","16500","16500","","","","","1.500","1.500","","","","","","","0","","","","2017-02-20 08:55:04","2017-02-20 08:58:50",""
