"1","1","1","1","ヘアスタジオエリア燕店看板灯タイマー取付","","","1","1.00","1.00","2","式","","13500","","","","","","","","0","","","","2017-02-11 09:25:42","2017-02-21 08:02:30"
"2","1","1","1","ヘアスタジオエリア燕店駐車場照明増設工事","","","2","1.00","1.00","2","式","","6000","","","","","","","","0","","","","2017-02-11 09:27:23","2017-02-11 09:27:23"
"3","1","1","1","皆川邸新築工事","","仮設及び追加含む","3","1.00","1.00","2","式","","450000","","","","","","","","0","","","","2017-02-11 09:28:09","2017-02-11 09:28:09"
"7","3","1","1","ＬＥＤスポットライト　XS411 149","","CDM-T 70Wｸﾗｽ　52°拡散　4000K　ｵﾌﾎﾜｲﾄ","1","18.00","18.00","11","台","15840","285120","11520","207360","0.065","1.170","","","","0","","","","2017-02-14 15:15:12","2017-02-14 15:15:12"
"8","3","1","20","取替工賃","","","2","18.00","18.00","11","台","1000","18000","700","12600","","","","","","0","","","","2017-02-14 15:15:12","2017-02-14 15:15:12"
"9","3","1","1","諸経費","1","","3","1.00","1.00","1","式","","59880","","21040","","","","","","0","0","0","0","2017-02-14 15:15:12","2017-07-28 16:51:52"
"11","5","1","1","焼肉ロッヂ県央店漏電修理","","","1","1.00","1.00","2","式","","10000","","","","","","","","0","","","","2017-02-18 13:20:35","2017-02-18 13:20:35"
"12","5","1","1","王風珍外壁張替工事","","","2","1.00","1.00","2","式","","6000","","","","","","","","0","","","","2017-02-18 13:27:28","2017-02-18 13:27:28"
"13","5","1","1","シエスタ本店様屋外コンセント取付","","","3","1.00","1.00","2","式","","8500","","","","","","","","0","","","","2017-02-18 13:28:04","2017-02-18 13:28:04"
"14","6","1","1","間接照明取替","","※器具支給品","1","8.00","8.00","11","台","5000","40000","3500","28000","","","","","","0","","","","2017-02-19 08:39:23","2017-02-19 08:39:23"
"15","8","1","1","富士型器具　ＦＨＦ３２Ｗ×２　定格出力型","","FSA42001FVPN9","1","2.00","2.00","11","台","9180","18360","5250","10500","","","","","","0","","","","2017-02-20 15:36:38","2017-02-20 15:36:38"
"16","8","1","18","消耗品雑材料","","","2","1.00","1.00","2","式","1040","1040","500","500","","","","","","0","","","","2017-02-20 15:36:38","2017-02-20 15:36:38"
"17","8","1","1","取替工賃","","","3","2.00","2.00","11","台","2000","4000","1500","3000","","","","","","0","0","0","0","2017-02-20 15:36:38","2017-04-13 07:48:46"
"18","8","1","16","諸経費","","","4","1.00","1.00","2","式","","2400","","1000","","","","","","0","0","0","0","2017-02-20 15:36:38","2017-04-13 07:48:46"
"19","9","1","1","小柳歯科併用住宅新築工事","","","1","1.00","1.00","2","式","","1500000","","","0.000","0.000","3","","","0","0","0","0","2017-02-20 15:56:38","2017-03-13 16:54:54"
"20","9","1","1","小柳歯科電気設備追加工事","","","2","1.00","1.00","2","式","","60000","","","","","","","","0","","","","2017-02-20 15:57:09","2017-02-20 15:57:09"
"21","7","1","1","古町グラムールコンセント増設工事","","","1","1.00","1.00","2","式","","24000","","","","","","","","0","","","","2017-02-20 19:20:03","2017-02-20 19:20:03"
"22","7","1","1","クロエ・アイラ長岡店新装工事","","","2","1.00","1.00","2","式","","1600000","","","","","","","","0","","","","2017-02-20 19:20:35","2017-02-20 19:20:35"
"23","10","1","1","豚シャモジ製麺室動力電源工事","","","1","1.00","1.00","2","式","","30000","","","","","","","","0","","","","2017-02-22 10:05:14","2017-02-22 10:10:39"
"24","10","1","1","川口様飲食店新装工事","","","2","1.00","1.00","2","式","","762000","","","","","","","","0","","","","2017-02-22 10:05:28","2017-02-22 10:07:05"
"25","10","1","1","西堀ラサリータ新装工事","","","3","1.00","1.00","2","式","","889000","","","","","","","","0","","","","2017-02-22 10:05:40","2017-02-22 10:06:31"
"26","11","1","1","黒川様邸調光スイッチ取替","","内訳は納品書の通り","1","1.00","1.00","2","式","","7400","","","","","","","","0","0","0","0","2017-03-04 09:26:55","2017-03-04 09:26:55"
"27","11","1","1","中之口　青木様邸計器復旧工事","","内訳は納品書の通り","2","1.00","1.00","2","式","","4600","","","","","","","","0","0","0","0","2017-03-04 09:27:49","2017-03-04 09:27:49"
"28","11","1","1","黒川邸庭園灯取替工事","","内訳は別紙の通り","3","1.00","1.00","2","式","","4000","","","","","","","","0","0","0","0","2017-03-04 09:28:35","2017-03-04 09:28:35"
"29","12","1","1","エヌエムアイ第二美沢薬局新築工事","","本工事￥410,000、別途機器類￥100,000","1","1.00","1.00","2","式","","510000","","","","","","","","0","0","0","0","2017-03-04 09:51:55","2017-03-04 09:51:55"
"30","12","1","1","ヤスダヨーグルト長岡店新装工事","","","2","1.00","1.00","2","式","","500000","","","","","","","","0","0","0","0","2017-03-04 09:52:38","2017-03-04 09:52:54"
"31","13","1","1","日本海庄や漏電調査","","","1","1.00","1.00","2","式","","5000","","","","","","","","0","0","0","0","2017-03-04 10:00:03","2017-03-04 10:00:03"
"32","13","1","1","ブラッスリーノア換気扇用スイッチ取替","","","2","1.00","1.00","2","式","","5000","","","","","","","","0","0","0","0","2017-03-04 10:00:23","2017-03-04 10:00:23"
"33","13","1","1","東三条ハイツ２０１号室改装工事","","","3","1.00","1.00","2","式","","80000","","","","","","","","0","0","0","0","2017-03-04 10:00:48","2017-03-04 10:00:48"
"34","13","1","1","長岡事務所改装工事","1","","4","1.00","1.00","1","式","","71000","","","","","","","","0","0","0","0","2017-03-04 10:01:40","2017-07-25 08:27:50"
"35","13","1","1","燕市土田様邸エアコン撤去","","","5","1.00","1.00","2","式","","20000","","","","","","","","0","0","0","0","2017-03-04 10:01:55","2017-03-04 10:01:55"
"36","14","1","1","１００Ｖ　コンセント配線","","","1","66.00","66.00","6","箇所","3000","198000","","","","","","","","0","0","0","0","2017-03-04 10:09:33","2017-03-04 10:11:32"
"37","14","1","1","２００Ｖ　動力配線　２０Ａ以下","","","2","14.00","14.00","6","箇所","5000","70000","","","","","","","","0","0","0","0","2017-03-04 10:10:24","2017-03-04 10:11:26"
"38","14","1","1","２００Ｖ　動力配線　６０Ａ以下","","","3","1.00","1.00","6","箇所","10000","10000","","","","","","","","0","0","0","0","2017-03-04 10:11:08","2017-03-04 10:11:08"
"39","15","1","1","遠藤照明　蛍光灯安定器（インバーター）","","EHFZ322SRT3-PH","1","1.00","1.00","7","個","9200","9200","6440","6440","","","","","","0","0","0","0","2017-03-04 10:24:21","2017-03-04 10:24:21"
"40","15","1","20","取替工賃","","","3","1.00","1.00","11","台","7000","7000","5000","5000","","","","","","0","0","0","0","2017-03-04 10:25:35","2017-03-04 10:25:35"
"41","15","1","18","消耗品雑材料","","","2","1.00","1.00","2","式","300","300","160","160","","","","","","0","0","0","0","2017-03-04 10:26:09","2017-03-04 10:26:09"
"42","15","1","16","諸経費","","","4","1.00","1.00","2","式","","1500","","1000","","","","","","0","0","0","0","2017-03-04 10:26:52","2017-03-04 10:26:52"
"43","16","1","1","ＥＤＩＤエミュータ","","DDC01-A","1","1.00","1.00","2","式","25000","25000","","","","","","","","0","","","","2017-03-04 10:42:44","2017-03-04 10:42:44"
"44","16","1","1","機器取付調整費","","","2","1.00","1.00","2","式","","15000","","","","","","","","0","","","","2017-03-04 10:42:45","2017-03-04 10:42:45"
