"1","844","27132","868","21000","5000","54000","75000","仕入材料,岡田電気産業(株),B1652,24132,外注費,村山電気,M1610,3000","","2016-08-27 05:32:33","2017-02-09 14:03:17"
"2","831","5285","115","1000","600","7000","9000","仕入材料,岡田電気産業(株),B1649,5285","","2016-09-14 08:54:54","2017-02-09 14:03:33"
"3","841","3960","240","0","800","5000","8000","仕入材料,岡田電気産業(株),B1646,1960,外注費,村山電気,M1611,2000","","2016-09-14 09:26:34","2017-02-09 14:14:10"
"4","826","0","","3600","700","4300","7000","","","2016-09-14 09:29:41","2017-02-09 14:14:33"
"5","789","144113","","405806","","549919","","出庫,岡田電気産業(株),A1698,7834,仕入材料,岡田電気産業(株),B1605,123339","","2016-10-03 15:17:15","2017-02-09 14:15:09"
"7","827","251796","7204","120000","46000","425000","560000","仕入材料,岡田電気産業(株),B1639,161796,外注費,村山電気,M1612,90000","","2016-10-14 08:28:21","2017-02-09 14:15:36"
"8","836","173532","5468","140000","39000","358000","460000","仕入材料,岡田電気産業(株),B1640,113532","","2016-10-14 08:28:40","2017-02-09 14:15:53"
"9","856","990","","2937","","3927","","仕入材料,岡田電気産業(株),B1663,990","","2016-10-14 08:53:37","2017-02-09 14:17:31"
"10","858","0","","7200","","7200","","","","2016-10-14 08:53:56","2017-02-09 14:19:10"
"11","857","21279","721","5994","3000","30994","50000","仕入材料,岡田電気産業(株),B1649,21279","","2016-10-14 13:12:09","2017-02-09 14:19:40"
"12","849","","","11205","","","","仕入材料,岡田電気産業(株),B1656,7600","","2016-11-10 09:20:12","2016-11-10 09:32:55"
"13","863","","","1005","","","","","","2016-11-10 09:22:36","2016-11-10 09:22:36"
"14","866","","","2500","1000","","10000","仕入材料,岡田電気産業(株),B1666,3500","","2016-11-19 08:14:11","2016-11-19 08:24:26"
"15","850","13185","415","21000","3400","38000","38000","仕入材料,岡田電気産業(株),B1657,13185","","2016-11-28 14:10:13","2017-07-29 16:27:09"
"16","859","","1240","","10000","","104700","仕入材料,岡田電気産業(株),B1659,49760,外注費,村山電気,M1614,21000","","2016-11-28 14:10:29","2016-11-28 15:29:16"
"17","861","181158","5842","162000","70000","419000","700000","仕入材料,岡田電気産業(株),B1660,177904,外注費,村山電気,M1615,2000,出庫,岡田電気産業(株),B1671,1254","","2016-11-28 14:10:38","2017-07-29 15:48:19"
"18","878","6138","262","19057","3600","29057","40000","仕入材料,岡田電気産業(株),B1674,6138","","2016-11-28 14:10:47","2017-02-09 14:01:58"
