"1","2016-11-24","2","906","0","","","2016-11-25 08:34:00","2016-11-25 08:34:00"
"2","2016-11-01","2","898","1","","","2016-11-25 09:17:58","2016-12-12 09:57:10"
"3","2016-11-25","2","898","0","","","2016-11-25 09:31:57","2016-11-25 09:31:57"
"4","2016-11-21","2","906","1","","","2016-11-26 10:12:05","2016-11-26 10:12:05"
"6","2016-12-05","2","937","1","","","2016-12-05 14:16:47","2016-12-05 14:16:47"
"7","2016-12-05","2","898","0","","","2016-12-05 16:49:41","2016-12-05 16:49:41"
"8","2016-12-08","2","942","1","","","2016-12-08 08:13:30","2016-12-08 08:13:30"
"9","2016-12-08","2","943","1","","","2016-12-08 13:18:30","2016-12-08 13:18:30"
"10","2016-12-08","2","913","1","","","2016-12-08 13:33:49","2016-12-08 13:33:49"
"11","2016-12-08","2","898","1","","","2016-12-08 16:07:18","2016-12-08 16:07:18"
"12","2016-12-09","2","930","1","","","2016-12-09 12:16:14","2016-12-09 12:16:14"
"13","2016-12-09","2","943","1","","","2016-12-09 12:17:04","2016-12-09 12:17:04"
"16","2016-12-12","2","898","0","","","2016-12-13 11:50:03","2016-12-13 11:50:03"
"17","2016-12-13","2","898","1","","","2016-12-13 16:09:55","2016-12-13 16:18:19"
"18","2016-12-28","2","947","1","","","2016-12-28 15:29:53","2016-12-28 15:29:53"
"19","2016-12-29","2","947","1","","","2016-12-29 09:23:07","2016-12-29 09:23:07"
"20","2016-12-29","2","898","1","","","2016-12-29 15:45:20","2016-12-29 15:45:20"
"21","2017-01-11","2","954","1","","","2017-01-11 15:18:32","2017-01-11 15:18:32"
"22","2017-01-13","2","929","1","","","2017-01-13 08:31:33","2017-01-13 08:31:33"
"23","2017-01-13","2","947","1","","","2017-01-13 09:34:43","2017-01-13 09:34:43"
"24","2017-01-16","2","929","1","","","2017-01-16 20:17:28","2017-01-16 20:17:28"
"25","2017-01-17","2","947","1","","","2017-01-17 17:27:49","2017-01-17 17:27:49"
"26","2017-01-17","2","955","1","","","2017-01-17 17:46:30","2017-01-17 17:46:30"
"27","2017-01-18","2","947","1","","","2017-01-18 13:08:51","2017-01-18 13:08:51"
"28","2017-01-19","2","947","1","","","2017-01-19 08:35:23","2017-01-19 08:35:23"
"29","2017-01-19","2","946","1","","","2017-01-19 10:01:37","2017-01-19 10:01:37"
"30","2017-01-20","2","956","1","","","2017-01-20 10:13:27","2017-01-20 10:13:27"
"31","2017-01-21","4","958","1","","","2017-01-21 08:35:01","2017-01-21 08:35:01"
"32","2017-01-24","2","947","1","","","2017-01-24 09:01:28","2017-01-24 09:01:28"
"33","2017-01-24","2","947","1","","","2017-01-24 10:03:49","2017-01-24 10:03:49"
"34","2017-01-27","2","961","1","","","2017-01-27 13:29:12","2017-01-27 13:29:12"
"35","2017-01-27","2","926","1","","","2017-01-27 16:47:31","2017-01-27 16:47:31"
"36","2017-01-27","2","898","1","","","2017-01-27 16:50:14","2017-01-27 16:50:14"
"37","2017-01-30","2","950","1","","","2017-01-30 11:38:33","2017-01-30 11:38:33"
"38","2017-02-01","12","962","0","","","2017-02-01 11:23:54","2017-02-01 11:23:54"
"39","2017-02-06","2","967","1","","","2017-02-06 17:07:38","2017-02-06 17:07:38"
"40","2017-02-07","4","970","1","","","2017-02-07 12:35:25","2017-02-07 12:35:25"
