"17","8","1","1","","動力設備工事","","","","","","","2","1.00","1.00","2","式","","26000.0","","19000.0","1.060","0.000","5","","0","0","0","0","2017-01-10 17:12:42","2017-11-21 11:55:05"
"18","8","1","4","","諸経費","","","","","","","3","1.00","1.00","2","式","","4000","","3000","","","","","0","0","0","0","2017-01-10 17:13:11","2017-11-21 11:54:20"
"19","9","1","1","","屋外コンセント取付工事","","","","","","","1","1.00","1.00","2","式","","7300","","5300","0.417","","3","","0","","","","2017-01-11 18:04:13","2017-01-11 18:08:31"
"20","9","1","4","","諸経費","","","","","","","2","1.00","1.00","2","式","","1200","","800","","","","","0","","","","2017-01-11 18:09:29","2017-01-11 18:09:29"
"21","10","1","2","","電気設備工事費","","","","","","","1","1.00","1.00","2","式","","1005000","","803000","14.284","","46","","0","","","","2017-01-12 13:10:37","2017-01-12 16:05:58"
"22","10","1","4","","諸経費","","","","","","","2","1.00","1.00","2","式","","150000","","120000","","","","","0","","","","2017-01-12 13:10:58","2017-01-12 16:06:44"
"23","11","1","11","","電気設備工事","","","","","","","1","1.00","1.00","2","式","","860000","","625000","8.524","38.817","44","","0","","","","2017-01-13 10:44:42","2017-01-14 12:02:09"
"24","11","1","1","","諸経費","","","","","","","2","1.00","1.00","2","式","","70000","","50000","","","","","0","","","","2017-01-13 10:44:55","2017-01-14 12:03:30"
"25","12","1","1","","電気設備工事","","","","","","","1","1.00","1.00","2","式","","605000","","444000","8.025","26.254","43","","0","","","","2017-01-17 13:16:56","2017-01-17 15:25:23"
"26","12","1","16","","諸経費","","","","","","","2","1.00","1.00","2","式","","73000","","54000","","","","","0","","","","2017-01-17 13:17:07","2017-01-17 14:58:21"
"27","13","1","1","","電灯配線","","","","","","軒先ダウンライトより分岐","1","1.00","1.00","6","箇所","2700","2700","2000","2000","0.150","0.150","","","0","","","","2017-01-17 16:05:28","2017-01-17 16:05:28"
"28","13","1","1","","照明器具取付","","","","","","※器具支給品","2","1.00","1.00","11","台","2230","2230","1650","1650","0.150","0.150","","","0","","","","2017-01-17 16:06:09","2017-01-17 16:06:09"
"29","13","1","1","","消耗品雑材料","","","","","","","3","1.00","1.00","2","式","","570","","350","","","","","0","","","","2017-01-17 16:06:52","2017-01-17 16:06:52"
"30","13","1","16","","諸経費","","","","","","","4","1.00","1.00","2","式","500","500","300","300","","","","","0","","","","2017-01-17 16:07:24","2017-01-17 16:07:24"
"31","14","1","1","","タイムスイッチ用電源配線","","","","","","100V","1","1.00","1.00","6","箇所","2700","2700","2000","2000","0.150","0.150","","","0","","","","2017-01-17 16:16:07","2017-01-17 16:16:07"
"32","14","1","1","","スイッチ渡り配線","","","","","","","2","1.00","1.00","6","箇所","1500","1500","1100","1100","0.080","0.080","","","0","","","","2017-01-17 16:16:56","2017-01-17 16:16:56"
"33","14","1","1","","タイムスイッチ取付","","","","","","TB5001","3","1.00","1.00","7","個","7710","7710","5710","5710","0.135","0.135","","","0","","","","2017-01-17 16:18:52","2017-01-17 16:18:52"
"34","14","1","1","","消耗品雑材料","","","","","","","4","1.00","1.00","2","式","","590","","390","","","","","0","","","","2017-01-17 16:19:45","2017-01-17 16:19:45"
"35","14","1","16","","諸経費","","","","","","","5","1.00","1.00","2","式","","1000","","800","","","","","0","","","","2017-01-17 16:20:33","2017-01-17 16:20:33"
"36","15","1","1","","間接照明取替","","","","","","※器具支給品","1","8.00","8.00","11","台","5000","40000","3500","28000","","","","","0","","","","2017-01-17 16:27:02","2017-01-17 16:27:36"
