"1","1","1","1","","ＴＯＡ　マイクミキサー","","","","","","MX-113","1","1.00","1.00","11","台","34000","34000","25200","25200","","","","","0","","","","2017-02-18 12:57:57","2017-02-20 14:48:27"
"2","2","1","17","","電気設備工事","","","","","","","1","1.00","1.00","2","式","","1537000.0","","1132000.0","22.255","76.464","53","","0","","","","2017-02-20 08:19:48","2018-01-06 08:10:43"
"3","2","1","1","","防災設備工事","","","","","","","2","1.00","1.00","2","式","","444000.0","","328000.0","0.437","1.798","18","","0","","","","2017-02-20 13:16:53","2017-02-20 15:27:01"
"4","2","1","1","","出精値引","","","","","","","7","1.00","1.00","2","式","","-381000","","","","","","","0","","","","2017-02-20 14:01:13","2017-02-20 15:28:40"
"5","2","1","1","","","","","","","","","3","","","1","<手入力>","","","","","","","","","0","","","","2017-02-20 14:02:46","2017-02-20 14:02:46"
"6","2","1","1","","","","","","","","","4","","","1","<手入力>","","","","","","","","","0","","","","2017-02-20 14:03:05","2017-02-20 14:03:17"
"7","3","1","1","","専用コンセント配線(一般)","","","","","","","1","3.00","3.00","6","箇所","5900","17700","4400","13200","0.300","0.900","","","0","","","","2017-02-20 14:07:08","2017-02-20 14:07:08"
"8","3","1","1","","埋込ダブルコンセント取付","","","","","","金具共","2","3.00","3.00","7","個","1170","3510","860","2580","0.054","0.162","","","0","0","0","0","2017-02-20 14:08:33","2017-02-27 10:39:17"
"9","3","1","18","","消耗品雑材料","","","","","","","3","1.00","1.00","2","式","","290","","220","","","","","0","","","","2017-02-20 14:09:08","2017-02-20 14:09:53"
"10","3","1","16","","諸経費","","","","","","","4","1.00","1.00","2","式","2500","2500","2000","2000","","","","","0","","","","2017-02-20 14:09:38","2017-02-20 14:09:38"
"11","4","1","1","","照明器具","","","","","","","1","1.00","1.00","2","式","","286000.0","","229086.0","0.000","0.000","15","","0","","","","2017-02-20 16:06:39","2017-02-20 16:53:53"
